id,category,board link,synset,approved,mass estimate ig2,mass estimate gpt3,mass estimate chatgpt4,mass estimate gpt4,old annotated mass,new annotated mass,mass (auto),description,approval comments
1586,diced__avocado,diced__avocado,diced__avocado.n.01,1,,0.200,,0.020,,,0.110,,
1587,diced__beefsteak_tomato,diced__beefsteak_tomato,diced__beefsteak_tomato.n.01,1,,0.100,,0.015,,,0.058,,
1588,diced__beet,diced__beet,diced__beet.n.01,1,,0.150,,0.015,,,0.083,,
1589,diced__bell_pepper,diced__bell_pepper,diced__bell_pepper.n.01,1,,0.200,,0.015,,,0.108,,
1590,diced__carrot,diced__carrot,diced__carrot.n.01,1,,0.100,,0.010,,,0.055,,
1591,diced__cheddar,diced__cheddar,diced__cheddar.n.01,1,,0.100,,0.020,,,0.060,,
1592,diced__chicken,diced__chicken,diced__chicken.n.01,1,,0.200,,0.020,,,0.110,,
1593,diced__chili,diced__chili,diced__chili.n.01,1,,0.050,,0.005,,,0.028,,
1594,diced__clove,diced__clove,diced__clove.n.01,1,,0.005,,0.002,,,0.004,,
1595,diced__cucumber,diced__cucumber,diced__cucumber.n.01,1,,0.100,,0.015,,,0.058,,
1596,diced__feta,diced__feta,diced__feta.n.01,1,,0.100,,0.020,,,0.060,,
1597,diced__green_onion,diced__green_onion,diced__green_onion.n.01,1,,0.050,,0.005,,,0.028,,
1598,diced__kiwi,diced__kiwi,diced__kiwi.n.01,1,,0.100,,0.015,,,0.058,,
1599,diced__lemon,diced__lemon,diced__lemon.n.01,1,,0.100,,0.010,,,0.055,,
1600,diced__lettuce,diced__lettuce,diced__lettuce.n.01,1,,0.100,,0.015,,,0.058,,
1601,diced__mango,diced__mango,diced__mango.n.01,1,,0.200,,0.020,,,0.110,,
1602,diced__pineapple,diced__pineapple,diced__pineapple.n.01,1,,0.150,,0.020,,,0.085,,
1603,diced__potato,diced__potato,diced__potato.n.01,1,,0.150,,0.025,,,0.088,,
1604,diced__spinach,diced__spinach,diced__spinach.n.01,1,,0.100,,0.005,,,0.053,,
1605,diced__vidalia_onion,diced__vidalia_onion,diced__vidalia_onion.n.01,1,,0.150,,0.015,,,0.083,,
1606,diced__virginia_ham,diced__virginia_ham,diced__virginia_ham.n.01,1,,0.200,,0.020,,,0.110,,
1607,diced__watermelon,diced__watermelon,diced__watermelon.n.01,1,,0.200,,0.025,,,0.113,,
1608,diced__zucchini,diced__zucchini,diced__zucchini.n.01,1,,0.150,,0.015,,,0.083,,
1609,dirt,dirt,dirt.n.02,1,,0.100,,1.500,,,0.800,,
1610,disinfectant,disinfectant,disinfectant.n.01,1,,1.000,,1.200,,,1.100,,
1611,drip_coffee,drip_coffee,drip_coffee.n.01,1,,0.005,,0.200,,,0.103,,
1612,dust,dust,dust.n.01,1,,0.010,,0.000,,,0.005,,
1613,eggnog,eggnog,eggnog.n.01,1,,1.000,,0.250,,,0.625,,
1614,espresso,espresso,espresso.n.01,1,,0.020,,0.030,,,0.025,,
1615,fabric_softener,fabric_softener,fabric_softener.n.01,1,,1.500,,1.400,,,1.450,,
1616,fecal_matter,fecal_matter,fecal_matter.n.01,1,,0.200,,0.100,,,0.150,,
1617,fertilizer,fertilizer,fertilizer.n.01,1,,1.000,,2.500,,,1.750,,
1618,fish_stew,fish_stew,fish_stew.n.01,1,,0.500,,0.300,,,0.400,,
1619,floor_wax,floor_wax,floor_wax.n.01,1,,1.000,,1.200,,,1.100,,
1620,flour,flour,flour.n.01,1,,0.600,,0.500,,,0.550,,
1621,foam,foam,foam.n.01,1,,0.020,,0.200,,,0.110,,
1622,fritter_batter,fritter_batter,fritter_batter.n.01,1,,1.500,,0.200,,,0.850,,
1623,frosting,frosting,frosting.n.01,1,,1.500,,0.150,,,0.825,,
1624,fruit_punch,fruit_punch,fruit_punch.n.01,1,,1.000,,0.250,,,0.625,,
1625,gasoline,gasoline,gasoline.n.01,1,,0.750,,0.700,,,0.725,,
1626,gin,gin,gin.n.01,1,,0.900,,0.950,,,0.925,,
1627,ginger,ginger,ginger.n.02,1,,0.030,,0.025,,,0.028,,
1628,ginger_beer,ginger_beer,ginger_beer.n.01,1,,0.500,,1.000,,,0.750,,
1629,glaze,glaze,glaze.n.01,1,,1.000,,0.300,,,0.650,,
1630,granola,granola,granola.n.01,1,,0.200,,0.600,,,0.400,,
1631,granulated_salt,granulated_salt,granulated_salt.n.01,1,,0.005,,0.005,,,0.005,,
1632,granulated_sugar,granulated_sugar,granulated_sugar.n.01,1,,0.004,,0.005,,,0.005,,
1633,grated_cheese,grated_cheese,grated_cheese.n.01,1,,0.002,,0.025,,,0.014,,
1634,gravy,gravy,gravy.n.01,1,,0.010,,1.000,,,0.505,,
1635,grease,grease,grease.n.01,1,,0.900,,0.250,,,0.575,,
1636,green_tea_latte,green_tea_latte,green_tea_latte.n.01,1,,0.350,,1.000,,,0.675,,
1637,ground_beef,ground_beef,ground_beef.n.01,1,,0.200,,0.450,,,0.325,,
1638,ground_coffee,ground_coffee,ground_coffee.n.01,1,,0.250,,0.500,,,0.375,,
1639,hair,hair,hair.n.04,1,,0.000,,0.000,,,0.000,,
1640,hay,hay,hay.n.01,1,,0.150,,5.000,,,2.575,,
1641,heavy_cream,heavy_cream,heavy_cream.n.01,1,,1.010,,0.990,,,1.000,,
1642,herbicide,herbicide,herbicide.n.01,1,,1.000,,1.000,,,1.000,,
1643,honey,honey,honey.n.01,1,,1.440,,1.400,,,1.420,,
1644,hot_sauce,hot_sauce,hot_sauce.n.01,1,,1.000,,1.000,,,1.000,,
1645,house_paint,house_paint,house_paint.n.01,1,,1.200,,25.000,,,13.100,,
1646,hummus,hummus,hummus.n.01,1,,1.000,,0.900,,,0.950,,
1647,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide.n.01,1,,1.440,,1.450,,,1.445,,
1648,iced_cappuccino,iced_cappuccino,iced_cappuccino.n.01,1,,0.350,,1.000,,,0.675,,
1649,iced_chocolate,iced_chocolate,iced_chocolate.n.01,1,,0.350,,1.000,,,0.675,,
1650,incision,incision,incision.n.01,1,,0.000,,0.000,,,0.000,,
1651,ink,ink,ink.n.01,1,,0.001,,1.000,,,0.501,,
1652,insectifuge,insectifuge,insectifuge.n.01,1,,1.000,,0.500,,,0.750,,
1653,instant_coffee,instant_coffee,instant_coffee.n.01,1,,0.250,,0.100,,,0.175,,
1654,jelly,jelly,jelly.n.02,1,,1.000,,300.000,,,150.500,,
1655,jerk_seasoning,jerk_seasoning,jerk_seasoning.n.01,1,,1.000,,0.250,,,0.625,,
1656,jimmies,jimmies,jimmies.n.01,1,,0.001,,0.005,,,0.003,,
1657,kidney_bean,kidney_bean,kidney_bean.n.01,1,,0.003,,0.150,,,0.077,,
1658,lemon_pepper_seasoning,lemon_pepper_seasoning,lemon-pepper_seasoning.n.01,1,,1.000,,0.200,,,0.600,,
1659,lemon_juice,lemon_juice,lemon_juice.n.01,1,,0.993,,0.250,,,0.622,,
1660,lemon_stain_remover,lemon_stain_remover,lemon_stain_remover.n.01,1,,1.000,,1.000,,,1.000,,
1661,lemonade,lemonade,lemonade.n.01,1,,1.000,,1.000,,,1.000,,
1662,lime_juice,lime_juice,lime_juice.n.01,1,,0.993,,0.250,,,0.622,,
1663,limeade,limeade,limeade.n.01,1,,1.000,,1.000,,,1.000,,
1664,lint,lint,lint.n.01,1,,0.000,,0.002,,,0.001,,
1665,liquid_soap,liquid_soap,liquid_soap.n.01,1,,1.000,,1.000,,,1.000,,
1666,lotion,lotion,lotion.n.01,1,,1.000,,0.300,,,0.650,,
1667,low_fat_milk,low_fat_milk,low-fat_milk.n.01,1,,1.030,,1.000,,,1.015,,
1668,lubricant,lubricant,lubricant.n.01,1,,0.900,,0.500,,,0.700,,
1669,maple_syrup,maple_syrup,maple_syrup.n.01,1,,1.360,,0.350,,,0.855,,
1670,margarine,margarine,margarine.n.01,1,,0.900,,0.250,,,0.575,,
1671,marinade,marinade,marinade.n.01,1,,1.000,,0.500,,,0.750,,
1672,marinara,marinara,marinara.n.01,1,,1.000,,0.350,,,0.675,,
1673,marjoram,marjoram,marjoram.n.02,1,,0.002,,0.015,,,0.009,,
1674,martini,martini,martini.n.01,1,,0.150,,0.200,,,0.175,,
1675,mashed_potato,mashed_potato,mashed_potato.n.02,1,,0.750,,0.200,,,0.475,,
1676,mayonnaise,mayonnaise,mayonnaise.n.01,1,,0.920,,0.300,,,0.610,,
1677,melted__butter,melted__butter,melted__butter.n.01,1,,0.911,,0.250,,,0.581,,
1678,melted__grated_cheese,melted__grated_cheese,melted__grated_cheese.n.01,1,,0.002,,0.200,,,0.101,,
1679,melted__white_chocolate,melted__white_chocolate,melted__white_chocolate.n.01,1,,0.985,,0.200,,,0.593,,
1680,mildew,mildew,mildew.n.02,1,,0.001,,0.000,,,0.001,,
1681,milkshake,milkshake,milkshake.n.01,1,,0.350,,0.350,,,0.350,,
1682,mold,mold,mold.n.05,1,,0.001,,0.000,,,0.001,,
1683,mud,mud,mud.n.03,1,,1.200,,1.500,,,1.350,,
1684,mulch,mulch,mulch.n.01,1,,0.500,,0.400,,,0.450,,
1685,mustard,mustard,mustard.n.02,1,,0.005,,0.250,,,0.128,,
1686,mustard_seasoning,mustard_seasoning,mustard_seasoning.n.01,1,,1.000,,0.300,,,0.650,,
1687,mustard_seed,mustard_seed,mustard_seed.n.01,1,,0.003,,0.005,,,0.004,,
1688,nutmeg,nutmeg,nutmeg.n.02,1,,0.005,,0.005,,,0.005,,
1689,oat,oat,oat.n.02,1,,0.001,,0.001,,,0.001,,
1690,oatmeal,oatmeal,oatmeal.n.01,1,,0.002,,0.250,,,0.126,,
1691,olive_oil,olive_oil,olive_oil.n.01,1,,0.920,,0.910,,,0.915,,
1692,onion_powder,onion_powder,onion_powder.n.01,1,,0.005,,0.150,,,0.078,,
1693,onion_ring_batter,onion_ring_batter,onion_ring_batter.n.01,1,,0.200,,0.200,,,0.200,,
1694,orange_juice,orange_juice,orange_juice.n.01,1,,0.993,,0.500,,,0.747,,
1695,orzo,orzo,orzo.n.01,1,,0.002,,0.200,,,0.101,,
1696,pancake_batter,pancake_batter,pancake_batter.n.01,1,,0.200,,0.200,,,0.200,,
1697,paprika,paprika,paprika.n.02,1,,0.005,,0.300,,,0.153,,
1698,parmesan,parmesan,parmesan.n.01,1,,0.001,,0.500,,,0.251,,
1699,peanut_butter,peanut_butter,peanut_butter.n.01,1,,0.950,,0.250,,,0.600,,
1700,pellet_food,pellet_food,pellet_food.n.01,1,,0.250,,0.005,,,0.128,,
1701,pesticide,pesticide,pesticide.n.01,1,,1.000,,1.000,,,1.000,,
1702,pesto,pesto,pesto.n.01,1,,1.000,,0.250,,,0.625,,
1703,pineapple_juice,pineapple_juice,pineapple_juice.n.01,1,,0.993,,0.500,,,0.747,,
1704,polish,polish,polish.n.03,1,,0.200,,0.100,,,0.150,,
1705,popcorn,popcorn,popcorn.n.02,1,,0.001,,0.005,,,0.003,,
1706,pumpkin_pie_spice,pumpkin_pie_spice,pumpkin_pie_spice.n.01,1,,0.005,,0.200,,,0.103,,
1707,quinoa,quinoa,quinoa.n.01,1,,0.001,,0.185,,,0.093,,
1708,raisin,raisin,raisin.n.01,1,,0.000,,0.002,,,0.001,,
1709,red_meat_sauce,red_meat_sauce,red_meat_sauce.n.01,1,,1.000,,0.300,,,0.650,,
1710,red_wine,red_wine,red_wine.n.01,1,,0.985,,1.200,,,1.093,,
1711,refried_beans,refried_beans,refried_beans.n.01,1,,0.900,,0.250,,,0.575,,
1712,rubbing_alcohol,rubbing_alcohol,rubbing_alcohol.n.01,1,,0.785,,0.800,,,0.793,,
1713,rum,rum,rum.n.01,1,,0.920,,0.950,,,0.935,,
1714,rust,rust,rust.n.01,1,,0.001,,0.000,,,0.001,,
1715,saddle_soap,saddle_soap,saddle_soap.n.01,1,,1.000,,0.150,,,0.575,,
1716,saffron,saffron,saffron.n.02,1,,0.000,,0.002,,,0.001,,
1717,sage,sage,sage.n.02,1,,0.001,,0.008,,,0.005,,
1718,salsa,salsa,salsa.n.01,1,,1.000,,0.300,,,0.650,,
1719,salt,salt,salt.n.02,1,,0.005,,0.125,,,0.065,,
1720,sand,sand,sand.n.04,1,,1.600,,"1,500.000",,,750.800,,
1721,sealant,sealant,sealant.n.01,1,,1.000,,1.000,,,1.000,,
1722,seawater,seawater,seawater.n.01,1,,1.025,,1.000,,,1.013,,
1723,sesame_oil,sesame_oil,sesame_oil.n.01,1,,0.920,,0.900,,,0.910,,
1724,sesame_seed,sesame_seed,sesame_seed.n.01,1,,0.000,,0.003,,,0.002,,
1725,shortening,shortening,shortening.n.01,1,,0.900,,0.500,,,0.700,,
1726,smoothie,smoothie,smoothie.n.02,1,,0.350,,0.300,,,0.325,,
1727,snow,snow,snow.n.01,1,,0.100,,0.100,,,0.100,,
1728,soda_water,soda_water,soda_water.n.03,1,,1.000,,1.000,,,1.000,,
1729,sodium_carbonate,sodium_carbonate,sodium_carbonate.n.01,1,,2.530,,2.532,,,2.531,,
1730,soil,soil,soil.n.02,1,,1.400,,12.000,,,6.700,,
1731,soy_sauce,soy_sauce,soy_sauce.n.01,1,,1.000,,1.000,,,1.000,,
1732,spray_paint,spray_paint,spray_paint.n.01,1,,0.350,,0.400,,,0.375,,
1733,stain,stain,stain.n.01,1,,0.050,,0.000,,,0.025,,
1734,stucco,stucco,stucco.n.01,1,,1.800,,2.000,,,1.900,,
1735,sugar_coffee_scrub,sugar_coffee_scrub,sugar_coffee_scrub.n.01,1,,0.200,,0.250,,,0.225,,
1736,sugar_syrup,sugar_syrup,sugar_syrup.n.01,1,,1.200,,1.300,,,1.250,,
1737,sunflower_seed,sunflower_seed,sunflower_seed.n.01,1,,0.000,,0.001,,,0.000,,
1738,tarnish,tarnish,tarnish.n.02,1,,0.010,,0.000,,,0.005,,
1739,tea,tea,tea.n.01,1,,0.001,,1.000,,,0.501,,
1740,thyme,thyme,thyme.n.02,1,,0.001,,0.005,,,0.003,,
1741,toilet_soap,toilet_soap,toilet_soap.n.01,1,,0.100,,0.100,,,0.100,,
1742,tomato_paste,tomato_paste,tomato_paste.n.01,1,,1.200,,0.350,,,0.775,,
1743,tomato_rice,tomato_rice,tomato_rice.n.01,1,,0.001,,1.000,,,0.500,,
1744,tomato_sauce,tomato_sauce,tomato_sauce.n.01,1,,1.000,,0.350,,,0.675,,
1745,tonic,tonic,tonic.n.01,1,,1.000,,1.000,,,1.000,,
1746,toothpaste,toothpaste,toothpaste.n.01,1,,0.200,,0.200,,,0.200,,
1747,vanilla,vanilla,vanilla.n.02,1,,0.002,,0.200,,,0.101,,
1748,vinegar,vinegar,vinegar.n.01,1,,1.000,,1.000,,,1.000,,
1749,vinegar_cleaning_solution,vinegar_cleaning_solution,vinegar_cleaning_solution.n.01,1,,1.000,,1.100,,,1.050,,
1750,vodka,vodka,vodka.n.01,1,,0.920,,0.950,,,0.935,,
1751,water,water,water.n.06,1,,1.000,,1.000,,,1.000,,
1752,wax_remnant,wax_remnant,wax_remnant.n.01,1,,0.001,,0.050,,,0.026,,
1753,whipped_cream,whipped_cream,whipped_cream.n.01,1,,0.960,,0.200,,,0.580,,
1754,white_rice,white_rice,white_rice.n.01,1,,0.001,,0.005,,,0.003,,
1755,white_wine,white_wine,white_wine.n.01,1,,0.985,,1.200,,,1.093,,
1756,whole_milk,whole_milk,whole_milk.n.01,1,,1.032,,1.030,,,1.031,,
1757,wine_sauce,wine_sauce,wine_sauce.n.01,1,,1.000,,0.300,,,0.650,,
1758,wrinkle,wrinkle,wrinkle.n.01,1,,0.001,,0.001,,,0.001,,
1759,yeast,yeast,yeast.n.01,1,,0.010,,0.010,,,0.010,,
1760,yogurt,yogurt,yogurt.n.01,1,,1.030,,0.250,,,0.640,,
1761,ammonia_water_atomizer,ammonia_water_atomizer,ammonia_water__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1762,bleaching_agent_atomizer,bleaching_agent_atomizer,bleaching_agent__atomizer.n.01,1,,0.400,,1.000,,,0.700,,
1763,conditioner_atomizer,conditioner_atomizer,conditioner__atomizer.n.01,1,,0.400,,0.250,,,0.325,,
1764,deodorant_atomizer,deodorant_atomizer,deodorant__atomizer.n.01,1,,0.400,,0.150,,,0.275,,
1765,detergent_atomizer,detergent_atomizer,detergent__atomizer.n.01,1,,0.400,,1.000,,,0.700,,
1766,fertilizer_atomizer,fertilizer_atomizer,fertilizer__atomizer.n.01,1,,0.400,,1.500,,,0.950,,
1767,insectifuge_atomizer,insectifuge_atomizer,insectifuge__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1768,pesticide_atomizer,pesticide_atomizer,pesticide__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1769,rubbing_alcohol_atomizer,rubbing_alcohol_atomizer,rubbing_alcohol__atomizer.n.01,1,,0.400,,0.300,,,0.350,,
1770,sealant_atomizer,sealant_atomizer,sealant__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1771,spray_paint_can,spray_paint_can,spray_paint__can.n.01,1,,0.400,,0.400,,,0.400,,
1772,vinegar_atomizer,vinegar_atomizer,vinegar__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1773,water_atomizer,water_atomizer,water__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1774,whipped_cream_atomizer,whipped_cream_atomizer,whipped_cream__atomizer.n.01,1,,0.400,,0.500,,,0.450,,
1775,chlorine_bottle,chlorine_bottle,chlorine__bottle.n.01,1,,0.200,,2.000,,,1.100,,
1776,detergent_bottle,detergent_bottle,detergent__bottle.n.01,1,,0.200,,0.500,,,0.350,,
1777,disinfectant_bottle,disinfectant_bottle,disinfectant__bottle.n.01,1,,0.200,,0.500,,,0.350,,
1778,fabric_softener_bottle,fabric_softener_bottle,fabric_softener__bottle.n.01,1,,0.200,,1.500,,,0.850,,
1779,floor_wax_bottle,floor_wax_bottle,floor_wax__bottle.n.01,1,,0.200,,1.000,,,0.600,,
1780,herbicide_bottle,herbicide_bottle,herbicide__bottle.n.01,1,,0.200,,1.000,,,0.600,,
1781,hydrogen_peroxide_bottle,hydrogen_peroxide_bottle,hydrogen_peroxide__bottle.n.01,1,,0.500,,0.500,,,0.500,,
1782,liquid_soap_bottle,liquid_soap_bottle,liquid_soap__bottle.n.01,1,,0.300,,0.500,,,0.400,,
1783,lubricant_bottle,lubricant_bottle,lubricant__bottle.n.01,1,,0.400,,0.500,,,0.450,,
1784,polish_bottle,polish_bottle,polish__bottle.n.01,1,,0.300,,0.500,,,0.400,,
1785,saddle_soap_bottle,saddle_soap_bottle,saddle_soap__bottle.n.01,1,,0.300,,0.500,,,0.400,,
1786,salt_bottle,salt_bottle,salt__bottle.n.01,1,,0.400,,0.500,,,0.450,,
1787,shampoo_bottle,shampoo_bottle,shampoo__bottle.n.01,1,,0.400,,0.250,,,0.325,,
1788,soap_bottle,soap_bottle,soap__bottle.n.01,1,,0.300,,0.300,,,0.300,,
1789,solvent_bottle,solvent_bottle,solvent__bottle.n.01,1,,0.500,,1.000,,,0.750,,
1790,toilet_soap_bottle,toilet_soap_bottle,toilet_soap__bottle.n.01,1,,0.300,,0.300,,,0.300,,
1791,bird_feed_bag,bird_feed_bag,bird_feed__bag.n.01,1,,20.000,,20.000,,,20.000,,
1792,brown_rice_sack,brown_rice_sack,brown_rice__sack.n.01,1,,5.000,,25.000,,,15.000,,
1793,brown_sugar_sack,brown_sugar_sack,brown_sugar__sack.n.01,1,,5.000,,25.000,,,15.000,,
1794,chia_seed_bag,chia_seed_bag,chia_seed__bag.n.01,1,,1.000,,0.500,,,0.750,,
1795,flour_sack,flour_sack,flour__sack.n.01,1,,5.000,,25.000,,,15.000,,
1796,granulated_sugar_sack,granulated_sugar_sack,granulated_sugar__sack.n.01,1,,5.000,,25.000,,,15.000,,
1797,grated_cheese_sack,grated_cheese_sack,grated_cheese__sack.n.01,1,,2.000,,5.000,,,3.500,,
1798,ground_beef_package,ground_beef_package,ground_beef__package.n.01,1,,0.500,,0.500,,,0.500,,
1799,mulch_bag,mulch_bag,mulch__bag.n.01,1,,20.000,,20.000,,,20.000,,
1800,pellet_food_bag,pellet_food_bag,pellet_food__bag.n.01,1,,10.000,,15.000,,,12.500,,
1801,petfood_bag,petfood_bag,petfood__bag.n.01,1,,10.000,,0.500,,,5.250,,
1802,popcorn_bag,popcorn_bag,popcorn__bag.n.01,1,,0.100,,0.005,,,0.053,,
1803,pumpkin_seed_bag,pumpkin_seed_bag,pumpkin_seed__bag.n.01,1,,1.000,,0.200,,,0.600,,
1804,soil_bag,soil_bag,soil__bag.n.01,1,,20.000,,25.000,,,22.500,,
1805,sugar_sack,sugar_sack,sugar__sack.n.01,1,,5.000,,1.000,,,3.000,,
1806,sunflower_seed_bag,sunflower_seed_bag,sunflower_seed__bag.n.01,1,,2.000,,1.500,,,1.750,,
1807,white_rice_sack,white_rice_sack,white_rice__sack.n.01,1,,5.000,,25.000,,,15.000,,
1808,beef_broth_carton,beef_broth_carton,beef_broth__carton.n.01,1,,1.000,,1.000,,,1.000,,
1809,chicken_broth_carton,chicken_broth_carton,chicken_broth__carton.n.01,1,,1.000,,1.000,,,1.000,,
1810,chicken_soup_carton,chicken_soup_carton,chicken_soup__carton.n.01,1,,1.000,,1.000,,,1.000,,
1811,milk_carton,milk_carton,milk__carton.n.01,1,,1.000,,0.050,,,0.525,,
1812,orange_juice_carton,orange_juice_carton,orange_juice__carton.n.01,1,,1.000,,1.200,,,1.100,,
1813,pineapple_juice_carton,pineapple_juice_carton,pineapple_juice__carton.n.01,1,,1.000,,1.200,,,1.100,,
1814,shortening_carton,shortening_carton,shortening__carton.n.01,1,,1.000,,1.000,,,1.000,,
1815,yogurt_carton,yogurt_carton,yogurt__carton.n.01,1,,1.000,,0.500,,,0.750,,
1816,baking_powder_jar,baking_powder_jar,baking_powder__jar.n.01,1,,0.200,,0.500,,,0.350,,
1817,basil_jar,basil_jar,basil__jar.n.01,1,,0.200,,0.150,,,0.175,,
1818,butter_package,butter_package,butter__package.n.01,1,,0.200,,0.227,,,0.214,,
1819,chickpea_can,chickpea_can,chickpea__can.n.01,1,,0.500,,0.400,,,0.450,,
1820,clove_jar,clove_jar,clove__jar.n.01,1,,0.200,,0.500,,,0.350,,
1821,cocoa_box,cocoa_box,cocoa__box.n.01,1,,0.500,,0.500,,,0.500,,
1822,cocoa_powder_box,cocoa_powder_box,cocoa_powder__box.n.01,1,,0.500,,2.500,,,1.500,,
1823,coconut_oil_jar,coconut_oil_jar,coconut_oil__jar.n.01,1,,0.500,,1.000,,,0.750,,
1824,coffee_bean_jar,coffee_bean_jar,coffee_bean__jar.n.01,1,,0.500,,1.500,,,1.000,,
1825,cornstarch_jar,cornstarch_jar,cornstarch__jar.n.01,1,,0.500,,0.500,,,0.500,,
1826,cream_carton,cream_carton,cream__carton.n.01,1,,1.000,,1.200,,,1.100,,
1827,cream_cheese_box,cream_cheese_box,cream_cheese__box.n.01,1,,0.200,,0.250,,,0.225,,
1828,feta_box,feta_box,feta__box.n.01,1,,0.200,,1.000,,,0.600,,
1829,frosting_jar,frosting_jar,frosting__jar.n.01,1,,0.300,,0.500,,,0.400,,
1830,gelatin_box,gelatin_box,gelatin__box.n.01,1,,0.500,,0.085,,,0.293,,
1831,granola_box,granola_box,granola__box.n.01,1,,0.300,,0.500,,,0.400,,
1832,granulated_sugar_jar,granulated_sugar_jar,granulated_sugar__jar.n.01,1,,0.800,,1.500,,,1.150,,
1833,honey_jar,honey_jar,honey__jar.n.01,1,,1.200,,1.500,,,1.350,,
1834,hummus_box,hummus_box,hummus__box.n.01,1,,0.400,,0.400,,,0.400,,
1835,ice_cream_carton,ice_cream_carton,ice_cream__carton.n.01,1,,1.500,,1.200,,,1.350,,
1836,instant_coffee_jar,instant_coffee_jar,instant_coffee__jar.n.01,1,,0.600,,0.500,,,0.550,,
1837,jelly_jar,jelly_jar,jelly__jar.n.01,1,,0.900,,0.500,,,0.700,,
1838,jelly_bean_jar,jelly_bean_jar,jelly_bean__jar.n.01,1,,0.700,,1.500,,,1.100,,
1839,jimmies_jar,jimmies_jar,jimmies__jar.n.01,1,,0.500,,0.700,,,0.600,,
1840,maple_syrup_jar,maple_syrup_jar,maple_syrup__jar.n.01,1,,1.000,,0.750,,,0.875,,
1841,margarine_box,margarine_box,margarine__box.n.01,1,,0.400,,0.250,,,0.325,,
1842,marinara_jar,marinara_jar,marinara__jar.n.01,1,,0.800,,0.750,,,0.775,,
1843,noodle_jar,noodle_jar,noodle__jar.n.01,1,,0.600,,0.700,,,0.650,,
1844,oat_box,oat_box,oat__box.n.01,1,,0.300,,0.900,,,0.600,,
1845,pasta_box,pasta_box,pasta__box.n.01,1,,0.500,,0.500,,,0.500,,
1846,peanut_butter_jar,peanut_butter_jar,peanut_butter__jar.n.01,1,,1.300,,0.750,,,1.025,,
1847,raisin_box,raisin_box,raisin__box.n.01,1,,0.300,,0.430,,,0.365,,
1848,refried_beans_can,refried_beans_can,refried_beans__can.n.01,1,,0.400,,0.400,,,0.400,,
1849,sodium_carbonate_jar,sodium_carbonate_jar,sodium_carbonate__jar.n.01,1,,0.700,,1.500,,,1.100,,
1850,tomato_sauce_jar,tomato_sauce_jar,tomato_sauce__jar.n.01,1,,0.900,,1.500,,,1.200,,
1851,yeast_jar,yeast_jar,yeast__jar.n.01,1,,0.600,,0.300,,,0.450,,
1852,cooking_oil_bottle,cooking_oil_bottle,cooking_oil__bottle.n.01,1,,1.200,,0.900,,,1.050,,
1853,lemon_juice_bottle,lemon_juice_bottle,lemon_juice__bottle.n.01,1,,1.000,,1.000,,,1.000,,
1854,lime_juice_bottle,lime_juice_bottle,lime_juice__bottle.n.01,1,,1.100,,1.200,,,1.150,,
1855,olive_oil_bottle,olive_oil_bottle,olive_oil__bottle.n.01,1,,1.200,,1.000,,,1.100,,
1856,sesame_oil_bottle,sesame_oil_bottle,sesame_oil__bottle.n.01,1,,1.100,,0.900,,,1.000,,
1857,vinegar_bottle,vinegar_bottle,vinegar__bottle.n.01,1,,1.000,,1.000,,,1.000,,
1858,cayenne_shaker,cayenne_shaker,cayenne__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1859,cinnamon_shaker,cinnamon_shaker,cinnamon__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1860,coriander_shaker,coriander_shaker,coriander__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1861,cream_of_tartar_shaker,cream_of_tartar_shaker,cream_of_tartar__shaker.n.01,1,,0.200,,0.250,,,0.225,,
1862,cumin_shaker,cumin_shaker,cumin__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1863,curry_powder_shaker,curry_powder_shaker,curry_powder__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1864,ginger_shaker,ginger_shaker,ginger__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1865,lemon_pepper_seasoning_shaker,lemon_pepper_seasoning_shaker,lemon-pepper_seasoning__shaker.n.01,1,,0.200,,0.500,,,0.350,,
1866,marjoram_shaker,marjoram_shaker,marjoram__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1867,mustard_seed_shaker,mustard_seed_shaker,mustard_seed__shaker.n.01,1,,0.200,,0.100,,,0.150,,
1868,nutmeg_shaker,nutmeg_shaker,nutmeg__shaker.n.01,1,,0.200,,0.150,,,0.175,,
1869,onion_powder_shaker,onion_powder_shaker,onion_powder__shaker.n.01,1,,0.200,,0.250,,,0.225,,
1870,paprika_shaker,paprika_shaker,paprika__shaker.n.01,1,,0.200,,0.200,,,0.200,,
1871,parmesan_shaker,parmesan_shaker,parmesan__shaker.n.01,1,,0.200,,0.300,,,0.250,,
1872,saffron_shaker,saffron_shaker,saffron__shaker.n.01,1,,0.200,,0.100,,,0.150,,
